Time,Sine Wave,Current (A)
0.2655,1.995261402206308,2.1287077234082177e+27
0.266,1.9949510169813,2.1034465205797835e+27
0.2665,1.994630811991432,2.0777002295984123e+27
0.267,1.994300790396999,2.051494362541394e+27
0.2675,1.9939609554551796,2.024854629826941e+27
0.268,1.9936113105200084,1.9978068984232596e+27
0.2685,1.9932518590423396,1.970377150314583e+27
0.269,1.9928826045698136,1.9425914413180396e+27
0.2695,1.992503550746824,1.9144758603407746e+27
0.27,1.992114701314477,1.8860564891640792e+27
0.2705,1.9917160601105628,1.857359362841264e+27
0.271,1.9913076310695064,1.8284104307882806e+27
0.2715,1.990889418222339,1.799235518649167e+27
0.272,1.990461425696651,1.7698602910086053e+27
0.2725,1.990023657716557,1.7403102150259428e+27
0.273,1.9895761186026508,1.7106105250568998e+27
0.2735,1.9891188127719617,1.680786188328774e+27
0.274,1.988651744737914,1.6508618717287777e+27
0.2745,1.9881749191102804,1.620861909762211e+27
0.275,1.9876883405951375,1.590810273732223e+27
0.2755,1.987192013994819,1.5607305421895306e+27
0.276,1.986685944207868,1.5306458726952914e+27
0.2765,1.986170136228989,1.5005789749365784e+27
0.277,1.9856445951489976,1.4705520852290997e+27
0.2775,1.9851093261547736,1.4405869424375664e+27
0.278,1.9845643345292052,1.41070476533951e+27
0.2785,1.98400962565114,1.3809262314543027e+27
0.279,1.9834452049953295,1.3512714573543495e+27
0.2795,1.982871078132379,1.3217599804712135e+27
0.28,1.9822872507286888,1.2924107424050682e+27
0.2805,1.9816937285463991,1.263242073741907e+27
0.281,1.9810905174433344,1.2342716803786607e+27
0.2815,1.9804776233729444,1.2055166313520758e+27
0.282,1.9798550523842469,1.1769933481636467e+27
0.2825,1.9792228106217655,1.1487175955888921e+27
0.283,1.9785809043254723,1.1207044739557993e+27
0.2835,1.9779293398307216,1.092968412873134e+27
0.284,1.9772681235681933,1.0655231663869485e+27
0.2845,1.9765972620638248,1.0383818095389707e+27
0.285,1.9759167619387477,1.0115567362989263e+27
0.2855,1.975226629909224,9.850596588390441e+26
0.286,1.9745268727865768,9.589016081161336e+26
0.2865,1.9738174974771288,9.33092935725238e+26
0.287,1.9730985109821264,9.076433169845062e+26
0.2875,1.9723699203976768,8.825617552110878e+26
0.288,1.9716317329146744,8.578565871437509e+26
0.2885,1.9708839558187312,8.335354894676695e+26
