Voltage (V),Current (A)
1.8600000000000034,1.1715453106074854e+25
1.8700000000000037,1.7210576941055259e+25
1.8800000000000034,2.528318418093376e+25
1.8900000000000032,3.71422413389365e+25
1.9000000000000035,5.456377969671041e+25
1.9100000000000037,8.015687657680908e+25
1.9200000000000035,1.1775439491661508e+26
1.9300000000000033,1.7298699892443003e+26
1.9400000000000035,2.541264113162988e+26
1.9500000000000037,3.733241996799532e+26
1.9600000000000035,5.484316145841658e+26
1.9700000000000033,8.056730212861736e+26
1.9800000000000035,1.1835733024263576e+27
1.9900000000000038,1.7387274057906872e+27
2.0000000000000036,2.55427609379997e+27
